Point ID,EdgeArray_0,EdgeArray_1,EdgeArray_Magnitude,EdgePCoordArray,MaximumInscribedSphereRadius,Points_0,Points_1,Points_2,Points_Magnitude,TCoords__0,TCoords__1,TCoords__Magnitude
1120,55044,54705,77604,0.0612098,0.89464,34.9776,57.5507,40.701,78.6899,0.983186,0,0.983186
1121,55044,51294,75239,0.677664,0.895191,35.0056,57.6178,40.6322,78.7158,0.984071,0,0.984071
1122,53013,53013,74971,0,0.899078,35.0349,57.6835,40.5625,78.741,0.984956,0,0.984956
1123,60262,60262,85223,0,0.906619,35.0759,57.7464,40.4955,78.7708,0.985841,0,0.985841
1124,47437,47275,66971,0.69572,0.912489,35.1241,57.8148,40.441,78.8145,0.986726,0,0.986726
1125,46171,79225,91697,0.475431,0.909088,35.1708,57.8798,40.3812,78.8524,0.987611,0,0.987611
1126,68441,68441,96790,0,0.90618,35.2092,57.9456,40.3164,78.8847,0.988496,0,0.988496
1127,34582,34582,48906,0,0.905906,35.2435,58.0171,40.2554,78.9214,0.989381,0,0.989381
1128,55612,55612,78647,0,0.899138,35.2734,58.0953,40.2001,78.9641,0.990265,0,0.990265
1129,72519,72518,102556,0.402429,0.889779,35.3142,58.1712,40.1498,79.0126,0.99115,0,0.99115
1130,64863,72519,97294,0.0077366,0.877521,35.3438,58.2517,40.0979,79.0587,0.992035,0,0.992035
1131,58255,58254,82384,0.0246303,0.868668,35.3748,58.3358,40.054,79.1124,0.99292,0,0.99292
1132,58257,56508,81160,0.37095,0.854389,35.403,58.4234,40.015,79.1699,0.993805,0,0.993805
1133,53729,53728,75983,0.704775,0.838928,35.4265,58.511,39.973,79.2238,0.99469,0,0.99469
1134,53728,53727,75982,0.403739,0.824777,35.4524,58.5987,39.9339,79.2805,0.995575,0,0.995575
1135,53728,53726,75981,0.862145,0.81111,35.4845,58.6904,39.9072,79.3493,0.99646,0,0.99646
1136,44482,44481,62906,0.162804,0.798489,35.5117,58.7844,39.8876,79.4211,0.997345,0,0.997345
1137,46763,54568,71864,0.331171,0.788371,35.532,58.8802,39.8649,79.4897,0.99823,0,0.99823
1138,52860,52861,74756,0.0250497,0.781002,35.5581,58.9695,39.8352,79.5526,0.999115,0,0.999115
1139,22643,22643,32022,0,0.770489,35.5819,59.0656,39.813,79.6234,1,0,1
